Code_x;Parent_x;NUTS-Code_x;Description_x;Code_y;Parent_y;NUTS-Code_y;Description_y
16110;16100.0;UKC;North East (England);16170;16110.0;UKC2;Northumberland and Tyne and Wear
16210;16100.0;UKD;North West (England);16220;16210.0;UKD1;Cumbria
16210;16100.0;UKD;North West (England);16250;16210.0;UKD3;Greater Manchester
16210;16100.0;UKD;North West (England);16310;16210.0;UKD4;Lancashire
16210;16100.0;UKD;North West (England);16380;16210.0;UKD6;Cheshire
16210;16100.0;UKD;North West (England);16420;16210.0;UKD7;Merseyside
16470;16100.0;UKE;Yorkshire and the Humber;16480;16470.0;UKE1;East Yorkshire and Northern Lincolnshire
16470;16100.0;UKE;Yorkshire and the Humber;16520;16470.0;UKE2;North Yorkshire
16470;16100.0;UKE;Yorkshire and the Humber;16550;16470.0;UKE3;South Yorkshire
16470;16100.0;UKE;Yorkshire and the Humber;16580;16470.0;UKE4;West Yorkshire
16630;16100.0;UKF;East Midlands (England);16640;16630.0;UKF1;Derbyshire and Nottinghamshire
16630;16100.0;UKF;East Midlands (England);16710;16630.0;UKF2;Leicestershire, Rutland and Northamptonshire
16630;16100.0;UKF;East Midlands (England);16760;16630.0;UKF3;Lincolnshire
16780;16100.0;UKG;West Midlands (England);16790;16780.0;UKG1;Herefordshire, Worcestershire and Warwickshire
16780;16100.0;UKG;West Midlands (England);16830;16780.0;UKG2;Shropshire and Staffordshire
16780;16100.0;UKG;West Midlands (England);16880;16780.0;UKG3;West Midlands
16960;16100.0;UKH;East of England;16970;16960.0;UKH1;East Anglia
16960;16100.0;UKH;East of England;17040;16960.0;UKH2;Bedfordshire and Hertfordshire
16960;16100.0;UKH;East of England;17090;16960.0;UKH3;Essex
17160;16100.0;UKI;London;17170;17160.0;UKI3;Inner London - West
17160;16100.0;UKI;London;17220;17160.0;UKI4;Inner London - East
17160;16100.0;UKI;London;17280;17160.0;UKI5;Outer London - East and North East
17160;16100.0;UKI;London;17330;17160.0;UKI6;Outer London - South
17160;16100.0;UKI;London;17370;17160.0;UKI7;Outer London - West and North West
17430;16100.0;UKJ;South East (England);17440;17430.0;UKJ1;Berkshire, Buckinghamshire and Oxfordshire
17430;16100.0;UKJ;South East (England);17490;17430.0;UKJ2;Surrey, East and West Sussex
17430;16100.0;UKJ;South East (England);17560;17430.0;UKJ3;Hampshire and Isle of Wight
17430;16100.0;UKJ;South East (England);17630;17430.0;UKJ4;Kent
17690;16100.0;UKK;South West (England);17700;17690.0;UKK1;Gloucestershire, Wiltshire and Bristol/Bath area
17690;16100.0;UKK;South West (England);17760;17690.0;UKK2;Dorset and Somerset
17690;16100.0;UKK;South West (England);17800;17690.0;UKK3;Cornwall and Isles of Scilly
17690;16100.0;UKK;South West (England);17820;17690.0;UKK4;Devon
17860;16100.0;UKL;Wales;17870;17860.0;UKL1;West Wales and The Valleys
17860;16100.0;UKL;Wales;17960;17860.0;UKL2;East Wales
18010;16100.0;UKM;Scotland;18020;18010.0;UKM5;North Eastern Scotland
18010;16100.0;UKM;Scotland;18040;18010.0;UKM6;Highlands and Islands
18010;16100.0;UKM;Scotland;18110;18010.0;UKM7;Eastern Scotland
18010;16100.0;UKM;Scotland;18190;18010.0;UKM8;West Central Scotland
18010;16100.0;UKM;Scotland;18240;18010.0;UKM9;Southern Scotland
18300;16100.0;UKN;Northern Ireland;18310;18300.0;UKN0;Northern Ireland
18430;16100.0;UKZ;Extra-Regio NUTS 1;18440;18430.0;UKZZ;Extra-Regio NUTS 2
18500;18490.0;IS0;Ísland;18510;18500.0;IS00;Ísland
